TICKER,MARKET CAP,COMNAM,SECTOR,NUM PATENTS,PATENT MCAP RATIO,PATENT FACTOR
CACC,6430505984.0,CREDIT ACCEPTANCE CORP,Financial Services,1,1.5550875817363985e-10,0.0004699626136801559
CALC,17509400.0,COMMONWEALTH ALUMINUM CORP,Healthcare,3,1.7133653923035626e-07,0.4110596866738496
CAMP,11017158.0,CALAMP CORP,Technology,14,1.2707451413513358e-06,0.9249681909718269
CAMT,2804077312.0,CAMTEK LTD,Technology,3,1.0698706441372184e-09,0.0007787527821897549
CAN,328408320.0,AMERICAN NATIONAL CAN GROUP INC,Technology,5,1.5224949233929274e-08,0.01108215431425514
CAR,7042869760.0,AVIS BUDGET GROUP INC,Industrials,3,4.2596272573979843e-10,0.003772941922055986
CASI,81660800.0,CASI PHARMACEUTICALS INC,Healthcare,20,2.4491555311728517e-07,0.5875857594543202
CCSI,509868864.0,CHROMATICS COLOR SCI INTL INC,Technology,8,1.569030894971457e-08,0.0114208870156081
CD,3149094144.0,CENDANT CORP,Technology,3,9.526549105290895e-10,0.0006934321135986874
CDMO,387023904.0,AVID BIOSERVICES INC,Healthcare,5,1.2919098661151431e-08,0.030994676743304823
CDNS,73870278656.0,CADENCE DESIGN SYSTEMS INC,Technology,693,9.381310218513873e-09,0.006828602572925485
CDT,521236288.0,CABLE DESIGN TECHNOLOGIES CORP,Healthcare,8,1.5348125570259604e-08,0.03682224303281612
CDXS,201110976.0,CODEXIS INC,Healthcare,8,3.977903224933879e-08,0.09543531465064811
CEG,37926612992.0,CONSTELLATION ENERGY GROUP INC,Utilities,2,5.273341968136905e-11,0.000589187509733002
CENX,900021824.0,CENTURY ALUMINUM CO,Basic Materials,3,3.3332525056636848e-09,0.016105928349462627
CERS,387761568.0,CERUS CORP,Healthcare,40,1.0315617456962625e-07,0.24748570846323456
CERT,2717364736.0,CERTICOM CORP,Healthcare,12,4.416043176325374e-09,0.010594688865274366
CEVA,554863872.0,CEVA INC,Technology,22,3.9649364664347796e-08,0.02886054796775675
CGEN,66722368.0,COMPUGEN LTD,Healthcare,22,3.297245085785924e-07,0.7910539911325102
CGNT,465170816.0,COGENTIX MEDICAL INC,Technology,15,3.224621898894018e-08,0.02347184016156303
CGNX,7202421248.0,COGNEX CORP,Technology,188,2.610233330245779e-08,0.01899974056894133
CHKP,17083464704.0,CHECK POINT SOFTWARE TECHS LTD,Technology,16,9.36578163576718e-10,0.000681729940549705
CHRD,6755622912.0,CHORDIANT SOFTWARE INC,Energy,1,1.4802483990391204e-10,0.0059595579515565895
CHTR,56199245824.0,CHARTER POWER SYSTEMS INC,Communication Services,1,1.779383309042464e-11,1.8959184823118272e-06
CHX,6027111936.0,PILGRIMS PRIDE CORP,Energy,1,1.6591694506733648e-10,0.006679903521029857
CHY,852818752.0,CHYRON CORP,Financial Services,1,1.1725820963186326e-09,0.0035436573040158984
CLDX,2031703808.0,CELLDEX THERAPEUTICS INC,Healthcare,23,1.1320547763623623e-08,0.027159535482592576
CLFD,452448480.0,CLEARFIELD INC,Technology,5,1.1050981981418082e-08,0.008043947192231218
CLRO,19887380.0,CLEARONE COMMUNICATIONS INC,Technology,4,2.0113257754415112e-07,0.14640326399255338
CMCO,1109865344.0,COLUMBUS MCKINNON CORP NY,Industrials,7,6.307071427937117e-09,0.05586454578751452
CME,74421346304.0,CORE MATERIALS CORP,Financial Services,1,1.343700496783746e-11,4.060793777072656e-05
CMPR,2116563968.0,CIMPRESS N V,Communication Services,1,4.724638683823612e-10,5.034064193693548e-05
CMPX,202702752.0,COMPEX TECHNOLOGIES INC,Healthcare,5,2.4666660667734792e-08,0.05917867753671069
CNET,6988375.0,C N E T INC,Communication Services,11,1.5740426064714616e-06,0.16771296293441337
CNXN,1772012544.0,PC CONNECTION INC,Technology,1,5.643300908822461e-10,0.0004107726768242655
COGT,420286112.0,COGENT INC,Healthcare,5,1.1896657674950725e-08,0.028541701602578386
COMS,2588016.0,3COM CORP,Communication Services,1256,0.0004853138465913657,51.70979669184133
COO,17987844096.0,COOPER COMPANIES INC,Healthcare,13,7.227102887160803e-10,0.0017338803863441478
COOL,111181376.0,MAJESCO ENTERTAINMENT CO,Financial Services,3,2.6982936422733246e-08,0.08154506199473163
COOP,4313849856.0,MR COOPER GROUP INC,Financial Services,1,2.3181149863366964e-10,0.0007005569272011591
CORT,3066659840.0,CORCEPT THERAPEUTICS INC,Healthcare,7,2.2826137769489296e-09,0.005476301249954274
CRIS,66419748.0,CURIS INC,Healthcare,62,9.334573205547242e-07,2.2394912108896707
CRNT,169628528.0,CERAGON NETWORKS LTD,Technology,2,1.1790469584219937e-08,0.008582216029901014
CRON,741841856.0,COOPER CAMERON CORP,Healthcare,167,2.251153647496536e-07,0.5400824115809333
CROX,6487288320.0,CROCS INC,Consumer Cyclical,3,4.6244283466654987e-10,0.00215813909597811
CRTO,1402611200.0,CONCERTO SOFTWARE INC,Communication Services,20,1.4259118991777622e-08,0.0015192975622853626
CRUS,4517166080.0,CIRRUS LOGIC INC,Technology,653,1.4455966161864034e-07,0.10522415891568944
CSCO,202645749760.0,CISCO SYSTEMS INC,Technology,5738,2.8315422390036313e-08,0.020610635580997117
CSGP,35760349184.0,COSTAR GROUP INC,Real Estate,6,1.6778359655068854e-10,8.954008111086229e-05
CSGS,1576722176.0,C S G SYSTEMS INTERNATIONAL INC,Technology,9,5.70804428135347e-09,0.004154853102405727
CSTR,387935744.0,COINSTAR INC,Financial Services,41,1.0568760583195963e-07,0.3193982387469494
CSX,67188420608.0,C S X CORP,Industrials,4,5.953406798081107e-11,0.0005273198035936658
CTLP,523637280.0,CANTALOUPE INC,Technology,10,1.9097188802141818e-08,0.01390073556384405
CUTR,56642732.0,CUTERA INC,Healthcare,12,2.1185418810660474e-07,0.5082670431819639
CVLT,3419318528.0,COMMVAULT SYSTEMS INC,Technology,94,2.7490857967824867e-08,0.02001043980834865
CVV,33917812.0,C V D EQUIPMENT CORP,Industrials,9,2.6534730483204517e-07,2.3502994741303813
CWST,5011444736.0,CASELLA WASTE SYSTEMS INC,Industrials,13,2.594062328297019e-09,0.022976767485605235
CYAN,5319012.0,CYANOTECH CORP,Consumer Defensive,3,5.640145199898026e-07,20.87553209116906
CYCC,201020.0,CYCLACEL PHARMACEUTICALS INC,Healthcare,5,2.4873146950552184e-05,59.674066244213705
CYT,111234128.0,CYTEC INDUSTRIES INC,Healthcare,131,1.177696111394877e-06,2.8254533254936844
CYTK,3536793344.0,CYTOKINETICS INC,Healthcare,79,2.233661747130906e-08,0.05358858665147585
CYTO,5260112.0,CYTOGEN CORP,Healthcare,11,2.091210225181517e-06,5.0170980678940005
CZR,10343343104.0,CAESARS ENTERTAINMENT INC,Consumer Cyclical,2,1.9336108063809232e-10,0.0009023820383475989
DAIO,26972192.0,DATA I O CORP,Technology,20,7.415044353829307e-07,0.5397368786823529
DAKT,389299104.0,DAKTRONICS INC,Technology,35,8.990516453898645e-08,0.0654414600509252
DALN,23872106.0,DALEEN TECHNOLOGIES INC,Communication Services,3,1.2566968326967046e-07,0.013390002815383028
DECA,72735640.0,DECOMA INTERNATIONAL INC,Financial Services,45,6.186788210016437e-07,1.8697076560912025
DGII,897722752.0,DIGI INTERNATIONAL INC,Technology,35,3.898753810352352e-08,0.028378808162675347
DGLY,5349432.0,DIGITAL ALLY INC,Communication Services,1,1.8693573448545564e-07,0.019917850876449567
DIOD,3574451200.0,DIODES INC,Technology,5,1.398816131550488e-09,0.0010181903393520332
DISH,2500945152.0,DISH NETWORK CORP,Communication Services,4,1.5993953313215244e-09,0.00017041427520231737
DMRC,749781504.0,DIGIMARC CORP NEW,Technology,134,1.7871873243755023e-07,0.1300883530900191
DOMH,10676023.0,DOMINARI HOLDINGS INC,Healthcare,5,4.683391933494336e-07,1.1236094935737624
DORM,2527549696.0,DORMAN PRODUCTS INC,Consumer Cyclical,1,3.956400942709694e-10,0.0018463824961161318
DOX,10018018304.0,AMDOCS LTD,Technology,34,3.3938847952019076e-09,0.0024703895196847825
DRRX,17602034.0,DURECT CORP,Healthcare,24,1.363478788871786e-06,3.271171264796831
DRS,4979782656.0,D R S TECHNOLOGIES INC,Industrials,1,2.008119769635183e-10,0.001778681280200594
DSGX,7173761536.0,DESCARTES SYSTEMS GROUP INC,Technology,1,1.393968833479775e-10,0.00010146620185411421
DVAX,1765705216.0,DYNAVAX TECHNOLOGIES CORP,Healthcare,12,6.796151413758977e-09,0.016304892600707145
DXCM,46789410816.0,DEXCOM INC,Healthcare,49,1.047245501609182e-09,0.0025124845505563893
DYNT,2311634.0,DYNATRONICS CORP,Healthcare,4,1.7303777328071831e-06,4.151411787994756
DZSI,42688928.0,D Z S INC,Technology,4,9.370111144510351e-08,0.06820450830389149
EA,37340553216.0,ELECTRONIC ARTS INC,Communication Services,24,6.427328449358986e-10,6.848266327498474e-05
EBAY,21668249600.0,EBAY INC,Consumer Cyclical,147,6.784119747263757e-09,0.03166028957703318
EDIT,892693504.0,ENVIRONMENTAL DIAGNOSTICS INC,Healthcare,4,4.4808212248400094e-09,0.010750100223793574
EFOI,6175139.0,ENERGY FOCUS INC,Consumer Cyclical,30,4.858190236689409e-06,22.67231644546649
EGHT,441012032.0,8X8 INC,Technology,29,6.575784308760083e-08,0.04786476153531937
EGIO,96534120.0,EDGIO INC,Technology,8,8.287225283661362e-08,0.060322243456722366
ELSE,13437839.0,ELECTRO SENSORS INC,Technology,3,2.232501818186689e-07,0.16250254287130314
ELTK,91666384.0,ELTEK LTD,Technology,31,3.3818286101478594e-07,0.24616138908693888
ELTX,55150640.0,ELTRAX SYSTEMS INC,Healthcare,4,7.252862342123319e-08,0.17400604303285455
EM,140302272.0,EMDEON INC,Consumer Cyclical,1,7.127468327811541e-09,0.03326263680717908
EMKR,33225838.0,EMCORE CORP,Technology,119,3.5815499973243716e-06,2.6069899573862285
EML,142235744.0,EASTERN CO,Industrials,30,2.1091744702372422e-07,1.8681899374804396
ENER,111610624.0,ENERGY CONVERSION DEVICES INC,Financial Services,85,7.61576245644859e-07,2.301557591504501
ENLV,26224026.0,ENLIVEN MARKETING TECH CORP,Healthcare,8,3.050637609953559e-07,0.7318894998906323
ENTG,17771319296.0,ENTEGRIS INC,Technology,169,9.509704776844497e-09,0.006922060244715922
EPIX,275005280.0,E P I X MEDICAL INC,Healthcare,6,2.1817762917133808e-08,0.05234378392914567
EQIX,75456905216.0,EQUINIX INC,Real Estate,4,5.301039034863351e-11,2.828974195997253e-05
ERIC,19955085312.0,ERICSSON,Technology,5323,2.667490475121653e-07,0.19416512083485377
ESCA,292181728.0,ESCALADE INC,Consumer Cyclical,1,3.4225275031572134e-09,0.015972331838485294
ESLT,9161928704.0,ELBIT SYSTEMS LTD,Industrials,20,2.1829464784274315e-09,0.01933533096765472
ESPR,206966768.0,ESPERION THERAPEUTICS INC,Healthcare,10,4.8316935596153294e-08,0.11591890729444873
EVLV,734516160.0,EVOLVE SOFTWARE INC,Industrials,1,1.3614404344759414e-09,0.01205888538884535
EVO,3986187776.0,EVOTEC S E,Healthcare,4,1.0034650209112478e-09,0.0024074492162432116
EVOK,4011684.0,EVOKE COMMUNICATIONS INC,Healthcare,3,7.478156305431834e-07,1.7941115197126951
EXAS,11918015488.0,EXACT SCIENCES CORP,Healthcare,24,2.0137580811306293e-09,0.0048312798284875684
EXC,35328061440.0,EXELON CORP,Utilities,2,5.661222038454426e-11,0.0006325251301805878
EXEL,7279901696.0,EXELIXIS INC,Healthcare,44,6.044037658389831e-09,0.014500469294307376
EXPE,20270419968.0,EXPEDIA GROUP INC,Consumer Cyclical,5,2.4666484502507963e-10,0.0011511412995205215
EXPO,4284679936.0,EXPONENT INC,Industrials,8,1.8671172921888e-09,0.016537890945410947
EXTR,2333051904.0,EXTREME NETWORKS INC,Technology,125,5.357789073860227e-08,0.03899904320694104
EYE,1543003136.0,ADVANCED MEDICAL OPTICS INC,Consumer Cyclical,98,6.35125086356273e-08,0.29640166890904424
EYPT,954798528.0,EYEPOINT PHARMACEUTICALS INC,Healthcare,1,1.0473413716867397e-09,0.0025127145559260514
FA,2358200064.0,FAIRCHILD CORP,Industrials,1,4.240522317278675e-10,0.0037560198241495734
FARO,400504352.0,FARO TECHNOLOGIES INC,Technology,54,1.3482999555520435e-07,0.09814199009630999
FCEL,693963968.0,FUELCELL ENERGY INC,Industrials,332,4.784110059155117e-07,4.2374997414544024
FEIM,93337096.0,FREQUENCY ELECTRONICS INC,Technology,3,3.214156137876842e-08,0.0233956604798929
FELE,4425068544.0,FRANKLIN ELECTRIC INC,Industrials,11,2.4858372001751304e-09,0.02201816923689278
FENC,265759520.0,FENNEC PHARMACEUTICALS INC,Healthcare,5,1.8814001470201332e-08,0.04513735122795164
FFIV,10605192192.0,F 5 INC,Technology,62,5.846192966382028e-09,0.004255410747772849
FLXS,88945824.0,FLEXSTEEL INDUSTRIES INC,Consumer Cyclical,3,3.372839628760986e-08,0.1574044729775526
FOLD,3730089472.0,AMICUS THERAPEUTICS INC,Healthcare,5,1.3404504201662216e-09,0.003215923072746025
FONR,131902528.0,FONAR CORP,Healthcare,123,9.325067674214705e-07,2.2372107044963627
FORM,3124577792.0,FORMFACTOR INC,Technology,288,9.217245310306552e-08,0.06709180655494343
FOSL,75567600.0,FOSSIL GROUP INC,Consumer Cyclical,12,1.587982151080622e-07,0.7410832446855081
FRTX,4838978.0,FRESH TRACKS THERAPEUTICS INC,Healthcare,27,5.579690587557952e-06,13.38643744621776
FSLR,18021378048.0,FIRST SOLAR INC,Technology,3,1.664689565919704e-10,0.000121171810633955
FSTR,206792656.0,FOSTER L B CO,Industrials,3,1.4507285016930195e-08,0.12849749639602473
FTEK,31904564.0,FUEL TECH INC,Industrials,7,2.1940434603651065e-07,1.9433621888035693
FTNT,44408238080.0,FORTINET INC,Technology,19,4.278485439069237e-10,0.0003114285318035314
GATE,125663904.0,GATEWAY 2000 INC,Financial Services,345,2.7454184456978195e-06,8.296921945355528
GDEN,1177286912.0,GOLDEN ENTERTAINMENT INC,Consumer Cyclical,2,1.6988212300792146e-09,0.007928098867301517
GEG,56153532.0,GREAT ELM GROUP INC,Financial Services,150,2.6712478210631523e-06,8.072771093525843
GEN,14851774464.0,GEN DIGITAL INC,Technology,436,2.9356761446710856e-08,0.021368620382273846
GENE,15558371.0,GENETIC TECHNOLOGIES LTD,Healthcare,2,1.2854816227225846e-07,0.30840454431667275
GEOS,159293824.0,GEOSPACE TECHNOLOGIES CORP,Energy,1,6.277707288890246e-09,0.25274379904978284
GERN,1221894016.0,GERON CORP,Healthcare,97,7.938495379291554e-08,0.19045531314754363
GILD,100094402560.0,GILEAD SCIENCES INC,Healthcare,123,1.228839943634906e-09,0.0029481543427450096
GILT,345958592.0,GILAT SATELLITE NETWORKS LTD,Technology,16,4.6248309393050135e-08,0.03366388245978554
GLBZ,15766398.0,GLEN BURNIE BANCORP,Financial Services,2,1.2685205587224172e-07,0.3833592681760949
GNSS,81890408.0,GENASYS INC,Technology,48,5.861492349629031e-07,0.42665470821836315
GNTA,91448840.0,GENTA INC,Healthcare,9,9.841568247339168e-08,0.23611262246236592
GNTX,7380124672.0,GENTEX CORP,Consumer Cyclical,347,4.7018175901080496e-08,0.21942552901022908
GOOG,1666174156800.0,GOOGLE INC,Communication Services,523,3.138927571679883e-10,3.344501866204732e-05
GOOGL,1667179872256.0,ALPHABET INC,Communication Services,523,3.137034033959906e-10,3.342484317123533e-05
GP,79776160.0,GEORGIA PACIFIC CORP,Industrials,52,6.518238030007962e-07,5.773494260241772
GRVY,511022112.0,GRAVITY CO LTD,Communication Services,3,5.870587455127578e-09,0.0006255063314151112
GSIT,68839952.0,G S I TECHNOLOGY INC,Technology,2,2.9052896492432185e-08,0.021147438803125734
GT,4145471744.0,GOODYEAR TIRE & RUBBER CO,Consumer Cyclical,1272,3.0684083225052615e-07,1.4319720118483674
GTBP,10213925.0,G T BIOPHARMA INC,Healthcare,5,4.895277770298881e-07,1.174443790845521
HAIN,957195008.0,HAIN CELESTIAL GROUP INC,Consumer Defensive,1,1.0447191968640105e-09,0.03866756678673685
HALO,5154464256.0,HALOZYME THERAPEUTICS INC,Healthcare,7,1.3580460843921313e-09,0.0032581374670369962
